"Confirmation request has been sent.","Confirmation request has been sent."
"Enable Extension","Enable Extension"
"Is Checked by Default","Is Checked by Default"
"Not Checked for Unsubscribed Customers","Not Checked for Unsubscribed Customers"
"POTATOCOMMERCE","POTATOCOMMERCE"
"Subscribe to Newsletter at Checkout","Subscribe to Newsletter at Checkout"
"Thank you for your subscription.","Thank you for your subscription."
